iso3_o,year,democracy_o
MEX,1960,0.106
MEX,1961,0.106
MEX,1962,0.107
MEX,1963,0.107
MEX,1964,0.106
MEX,1965,0.105
MEX,1966,0.105
MEX,1967,0.107
MEX,1968,0.107
MEX,1969,0.109
MEX,1970,0.111
MEX,1971,0.111
MEX,1972,0.111
MEX,1973,0.112
MEX,1974,0.112
MEX,1975,0.112
MEX,1976,0.114
MEX,1977,0.124
MEX,1978,0.131
MEX,1979,0.131
MEX,1980,0.132
MEX,1981,0.133
MEX,1982,0.137
MEX,1983,0.145
MEX,1984,0.145
MEX,1985,0.145
MEX,1986,0.146
MEX,1987,0.148
MEX,1988,0.163
MEX,1989,0.18
MEX,1990,0.195
MEX,1991,0.204
MEX,1992,0.216
MEX,1993,0.224
MEX,1994,0.266
MEX,1995,0.281
MEX,1996,0.296
MEX,1997,0.341
MEX,1998,0.378
MEX,1999,0.381
MEX,2000,0.435
MEX,2001,0.487
MEX,2002,0.494
MEX,2003,0.501
MEX,2004,0.508
MEX,2005,0.508
MEX,2006,0.479
MEX,2007,0.452
MEX,2008,0.458
MEX,2009,0.46
MEX,2010,0.462
MEX,2011,0.459
MEX,2012,0.455
MEX,2013,0.418
MEX,2014,0.42
MEX,2015,0.419
MEX,2016,0.424
MEX,2017,0.43
MEX,2018,0.453
MEX,2019,0.438
MEX,2020,0.412
MEX,2021,0.387
SUR,1960,0.44
SUR,1961,0.44
SUR,1962,0.44
SUR,1963,0.439
SUR,1964,0.438
SUR,1965,0.438
SUR,1966,0.438
SUR,1967,0.441
SUR,1968,0.442
SUR,1969,0.442
SUR,1970,0.444
SUR,1971,0.444
SUR,1972,0.444
SUR,1973,0.445
SUR,1974,0.443
SUR,1975,0.6
SUR,1976,0.635
SUR,1977,0.629
SUR,1978,0.645
SUR,1979,0.645
SUR,1980,0.19
SUR,1981,0.144
SUR,1982,0.144
SUR,1983,0.143
SUR,1984,0.143
SUR,1985,0.19
SUR,1986,0.19
SUR,1987,0.204
SUR,1988,0.492
SUR,1989,0.59
SUR,1990,0.559
SUR,1991,0.384
SUR,1992,0.653
SUR,1993,0.666
SUR,1994,0.667
SUR,1995,0.667
SUR,1996,0.677
SUR,1997,0.678
SUR,1998,0.678
SUR,1999,0.678
SUR,2000,0.686
SUR,2001,0.681
SUR,2002,0.681
SUR,2003,0.681
SUR,2004,0.681
SUR,2005,0.677
SUR,2006,0.674
SUR,2007,0.673
SUR,2008,0.673
SUR,2009,0.673
SUR,2010,0.658
SUR,2011,0.652
SUR,2012,0.649
SUR,2013,0.644
SUR,2014,0.644
SUR,2015,0.649
SUR,2016,0.643
SUR,2017,0.638
SUR,2018,0.623
SUR,2019,0.604
SUR,2020,0.627
SUR,2021,0.648
SWE,1960,0.73
SWE,1961,0.731
SWE,1962,0.731
SWE,1963,0.731
SWE,1964,0.731
SWE,1965,0.731
SWE,1966,0.729
SWE,1967,0.729
