hs17,group,subgroup,description,ship type,hs92
10121,1,1,"Horses: live, pure-bred breeding animals",container,10111
10129,1,1,"Horses: live, other than pure-bred breeding animals",container,10119
10130,1,1,Asses: live,container,10111
10190,1,1,Mules and hinnies: live,container,10119
10221,1,2,"Cattle: live, pure-bred breeding animals",container,10210
10229,1,2,"Cattle: live, other than pure-bred breeding animals",container,10290
10231,1,2,"Buffalo: live, pure-bred breeding animals",container,10210
10239,1,2,"Buffalo: live, other than pure-bred breeding animals",container,10290
10290,1,2,"Bovine animals: live, other than cattle and buffalo",container,10290
10310,1,3,"Swine: live, pure-bred breeding animals",container,10310
10391,1,3,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg",container,10391
10392,1,3,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more",container,10392
10410,1,4,Sheep: live,container,10410
10420,1,4,Goats: live,container,10420
10511,1,5,"Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",container,10511
10512,1,5,"Poultry: live, turkeys, weighing not more than 185g",container,10519
10513,1,5,"Poultry: live, ducks, weighing not more than 185g",container,10519
10514,1,5,"Poultry: live, geese, weighing not more than 185g",container,10519
10515,1,5,"Poultry: live, guinea fowls, weighing not more than 185g",container,10519
10594,1,5,"Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",container,10591
10599,1,5,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",container,10599
10611,1,6,"Mammals: live, primates",container,10600
10612,1,6,"Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",container,10600
10613,1,6,"Mammals: live, camels and other camelids (Camelidae)",container,10600
10614,1,6,"Mammals: live, rabbits and hares",container,10600
10619,1,6,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",container,10600
10620,1,6,Reptiles: live (including snakes and turtles),container,10600
10631,1,6,"Birds: live, birds of prey",container,10600
10632,1,6,"Birds: live, Psittaciformes",container,10600
10633,1,6,"Birds: live, ostriches: emus (Dromaius novaehollandiae)",container,10600
10639,1,6,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",container,10600
10641,1,6,"Insects: live, bees",container,10600
10649,1,6,"Insects: live, other than bees",container,10600
10690,1,6,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",container,10600
20110,2,1,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",refrigerated cargo,20110
20120,2,1,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",refrigerated cargo,20120
20130,2,1,"Meat: of bovine animals, boneless cuts, fresh or chilled",refrigerated cargo,20130
20210,2,2,"Meat: of bovine animals, carcasses and half-carcasses, frozen",refrigerated cargo,20210
20220,2,2,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",refrigerated cargo,20220
20230,2,2,"Meat: of bovine animals, boneless cuts, frozen",refrigerated cargo,20230
20311,2,3,"Meat: of swine, carcasses and half-carcasses, fresh or chilled",refrigerated cargo,20311
20312,2,3,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",refrigerated cargo,20312
20319,2,3,"Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled",refrigerated cargo,20319
20321,2,3,"Meat: of swine, carcasses and half-carcasses, frozen",refrigerated cargo,20321
20322,2,3,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",refrigerated cargo,20322
20329,2,3,"Meat: of swine, n.e.c. in item no. 0203.2, frozen",refrigerated cargo,20329
20410,2,4,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",refrigerated cargo,20410
