Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,65.626,70.884,76.143,51.226,26.308,20.231,14.153,14.201,14.248,9.967,5.686,4.603,3.52,2.933,2.345,2.216,2.086,1.836,1.586
AIM/CGE,SSP1-26,R5.2ASIA,Primary Energy|Coal,EJ/yr,65.63,70.882,76.134,66.759,57.385,44.605,31.826,31.288,30.75,29.186,27.622,23.503,19.384,17.786,16.188,14.27,12.352,11.508,10.663
AIM/CGE,SSP2-45,R5.2ASIA,Primary Energy|Coal,EJ/yr,69.872,80.202,90.531,94.624,98.717,98.485,98.254,88.093,77.932,64.37,50.807,46.016,41.225,41.575,41.924,40.506,39.088,39.473,39.859
AIM/CGE,SSP3-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,69.441,83.464,97.487,114.387,131.287,144.2,157.114,168.99,180.865,189.716,198.566,206.822,215.077,221.483,227.889,234.351,240.813,246.121,251.429
AIM/CGE,SSP4-34,R5.2ASIA,Primary Energy|Coal,EJ/yr,72.002,86.569,101.137,101.838,102.539,95.163,87.787,83.54,79.293,74.305,69.318,64.926,60.533,56.847,53.16,49.973,46.786,46.199,45.611
AIM/CGE,SSP5-34,R5.2ASIA,Primary Energy|Coal,EJ/yr,69.749,79.801,89.852,80.324,70.796,68.431,66.067,77.16,88.254,90.328,92.402,86.084,79.767,74.265,68.763,64.737,60.711,57.975,55.239
AIM/CGE,SSP5-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.047,80.958,91.87,108.857,125.845,140.946,156.047,166.717,177.387,181.443,185.499,189.934,194.37,197.375,200.381,203.417,206.454,205.427,204.399
GCAM4,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,87.324,101.07,114.816,101.442,88.068,73.341,58.614,43.099,27.584,20.658,13.732,9.956,6.18,4.292,2.404,1.721,1.038,0.784,0.53
GCAM4,SSP1-26,R5.2ASIA,Primary Energy|Coal,EJ/yr,87.324,101.047,114.771,112.525,110.279,105.234,100.188,86.686,73.184,53.973,34.762,23.883,13.003,9.38,5.756,4.165,2.573,1.864,1.154
GCAM4,SSP2-45,R5.2ASIA,Primary Energy|Coal,EJ/yr,87.324,106.427,125.53,144.447,163.364,156.769,150.174,137.609,125.044,104.913,84.783,65.406,46.03,38.987,31.944,29.321,26.698,23.657,20.616
