Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP1-19,R5.2ASIA,Consumption,billion US$2005/yr,5179.697,7732.942,10286.188,13984.284,17682.381,22394.992,27107.603,31627.776,36147.950,39902.392,43656.834,46786.026,49915.217,52102.202,54289.187,55679.681,57070.175,57653.667,58237.160
AIM/CGE,SSP1-26,R5.2ASIA,Consumption,billion US$2005/yr,5179.614,7732.910,10286.207,14252.581,18218.955,22954.616,27690.278,32291.029,36891.780,40688.468,44485.156,47535.882,50586.608,52742.739,54898.871,56240.141,57581.412,58143.460,58705.508
AIM/CGE,SSP1-34,R5.2ASIA,Consumption,billion US$2005/yr,5179.614,7732.910,10286.207,14334.061,18381.915,23277.287,28172.659,32801.566,37430.472,41205.659,44980.847,48068.366,51155.885,53300.074,55444.263,56785.230,58126.198,58681.128,59236.057
AIM/CGE,SSP1-45,R5.2ASIA,Consumption,billion US$2005/yr,5179.614,7733.321,10287.028,14356.423,18425.818,23374.259,28322.701,33011.943,37701.184,41550.184,45399.185,48509.201,51619.217,53707.657,55796.097,57091.575,58387.053,58903.891,59420.729
AIM/CGE,SSP1-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5179.247,7729.483,10279.719,14356.553,18433.388,23388.536,28343.684,33038.375,37733.066,41600.150,45467.235,48555.064,51642.893,53781.565,55920.238,57263.915,58607.593,59159.535,59711.478
AIM/CGE,SSP2-19,R5.2ASIA,Consumption,billion US$2005/yr,5178.507,7709.300,10240.093,12797.279,15354.465,18093.238,20832.011,23560.273,26288.535,28950.955,31613.374,34389.927,37166.480,39946.959,42727.439,45478.948,48230.458,50980.451,53730.445
AIM/CGE,SSP2-26,R5.2ASIA,Consumption,billion US$2005/yr,5177.931,7708.988,10240.045,13131.967,16023.889,18795.642,21567.395,24391.959,27216.523,30069.698,32922.873,35720.182,38517.491,41335.355,44153.218,46908.465,49663.711,52425.330,55186.950
AIM/CGE,SSP2-34,R5.2ASIA,Consumption,billion US$2005/yr,5177.931,7708.988,10240.045,13308.643,16377.241,19267.215,22157.188,25022.345,27887.501,30717.356,33547.211,36436.479,39325.747,42160.011,44994.275,47754.533,50514.791,53286.000,56057.210
AIM/CGE,SSP2-45,R5.2ASIA,Consumption,billion US$2005/yr,5177.931,7708.988,10240.045,13404.706,16569.367,19585.236,22601.105,25526.034,28450.964,31266.510,34082.056,36918.928,39755.801,42574.957,45394.114,48166.914,50939.714,53724.194,56508.674
AIM/CGE,SSP2-60,R5.2ASIA,Consumption,billion US$2005/yr,5177.931,7708.988,10240.045,13416.473,16592.901,19627.256,22661.611,25652.126,28642.640,31534.752,34426.864,37356.871,40286.878,43154.221,46021.564,48834.530,51647.495,54437.948,57228.400
