Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1421.917,1496.323,1570.729,1620.354,1669.978,1697.217,1724.456,1726.352,1728.247,1699.960,1671.672,1629.394,1587.117,1532.516,1477.916,1415.119,1352.323,1281.229,1210.136
AIM/CGE,SSP1-26,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1421.919,1496.323,1570.727,1623.843,1676.959,1707.818,1738.677,1745.949,1753.222,1731.205,1709.188,1665.561,1621.935,1564.616,1507.296,1439.443,1371.589,1297.706,1223.822
AIM/CGE,SSP2-45,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1425.915,1512.552,1599.189,1666.208,1733.226,1777.084,1820.942,1846.294,1871.646,1874.680,1877.714,1866.608,1855.502,1833.020,1810.538,1776.841,1743.145,1705.716,1668.288
AIM/CGE,SSP3-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1430.864,1530.230,1629.596,1714.602,1799.608,1858.182,1916.756,1962.087,2007.417,2038.999,2070.581,2099.560,2128.540,2160.138,2191.736,2227.526,2263.317,2307.285,2351.253
AIM/CGE,SSP4-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1420.845,1498.406,1575.967,1629.389,1682.810,1709.110,1735.410,1739.445,1743.479,1724.158,1704.836,1670.776,1636.716,1591.965,1547.214,1498.886,1450.558,1401.547,1352.537
AIM/CGE,SSP5-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1426.905,1505.990,1585.075,1646.352,1707.629,1752.291,1796.953,1814.224,1831.494,1815.602,1799.710,1763.737,1727.764,1673.645,1619.525,1554.949,1490.373,1419.245,1348.117
AIM/CGE,SSP5-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1426.918,1505.923,1584.927,1649.119,1713.311,1753.940,1794.570,1804.687,1814.803,1795.926,1777.049,1737.992,1698.934,1644.104,1589.273,1523.589,1457.905,1385.480,1313.055
GCAM4,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1342.779,1380.071,1417.363,1593.977,1770.591,1847.012,1923.432,1947.595,1971.757,1959.038,1946.319,1911.113,1875.907,1825.468,1775.029,1710.864,1646.699,1570.558,1494.417
GCAM4,SSP1-26,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1342.779,1390.274,1437.769,1580.567,1723.365,1823.387,1923.409,1977.565,2031.720,2035.411,2039.102,2015.443,1991.784,1946.766,1901.748,1837.991,1774.234,1697.689,1621.143
GCAM4,SSP2-45,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1342.779,1402.751,1462.724,1535.807,1608.889,1703.766,1798.643,1931.937,2065.232,2166.575,2267.919,2309.608,2351.296,2364.649,2378.002,2375.597,2373.192,2356.416,2339.640
GCAM4,SSP3-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1342.779,1403.622,1464.466,1548.864,1633.263,1702.292,1771.320,1835.951,1900.582,1964.281,2027.980,2092.790,2157.600,2226.439,2295.279,2354.968,2414.657,2474.675,2534.693
GCAM4,SSP4-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1342.779,1374.066,1405.352,1500.186,1595.019,1701.639,1808.259,1911.072,2013.884,2068.796,2123.707,2174.559,2225.412,2273.725,2322.038,2314.239,2306.440,2184.966,2063.491
