Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.174,12.338,13.503,12.561,11.619,9.815,8.011,7.505,6.998,5.640,4.282,3.777,3.273,2.905,2.537,2.518,2.499,2.302,2.105
AIM/CGE,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.175,12.339,13.503,14.022,14.541,13.331,12.122,11.647,11.173,11.010,10.847,10.391,9.934,9.816,9.697,9.291,8.885,8.725,8.565
AIM/CGE,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.629,13.536,15.443,16.779,18.115,19.442,20.769,21.132,21.494,20.935,20.377,20.292,20.207,20.618,21.030,21.474,21.918,22.045,22.172
AIM/CGE,SSP3-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.773,14.384,16.994,20.526,24.058,26.991,29.924,32.943,35.962,38.366,40.770,42.613,44.456,46.445,48.434,49.751,51.069,54.710,58.351
AIM/CGE,SSP4-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.662,13.681,15.700,16.877,18.054,18.267,18.479,17.907,17.335,16.776,16.218,16.043,15.869,15.650,15.431,15.029,14.626,14.218,13.811
AIM/CGE,SSP5-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.528,13.314,15.101,17.055,19.009,20.550,22.091,24.076,26.062,26.344,26.625,26.251,25.876,25.356,24.837,23.736,22.636,21.281,19.926
AIM/CGE,SSP5-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.567,13.470,15.373,18.074,20.775,23.849,26.923,29.918,32.914,35.153,37.392,38.684,39.977,40.452,40.928,41.446,41.965,42.519,43.074
GCAM4,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,20.943,26.990,35.554,44.118,50.804,57.490,58.075,58.660,52.899,47.138,40.116,33.093,27.828,22.563,19.178,15.793,13.456,11.119
GCAM4,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,20.948,26.998,36.969,46.939,54.545,62.150,64.970,67.791,66.066,64.341,56.284,48.228,41.007,33.787,29.090,24.392,21.140,17.887
GCAM4,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,21.795,28.693,39.729,50.764,57.246,63.729,68.353,72.978,74.639,76.299,73.386,70.473,66.428,62.383,60.108,57.833,55.410,52.987
GCAM4,SSP3-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,21.941,28.985,38.273,47.561,52.471,57.380,59.400,61.419,60.953,60.488,57.629,54.771,52.460,50.150,48.093,46.036,45.000,43.963
GCAM4,SSP4-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,21.380,27.862,36.563,45.264,50.945,56.625,58.304,59.983,58.672,57.361,52.410,47.460,41.589,35.718,30.264,24.810,20.887,16.963
GCAM4,SSP4-60,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,21.380,27.862,37.789,47.715,54.249,60.783,64.115,67.446,68.522,69.597,67.720,65.843,63.683,61.523,59.706,57.890,56.353,54.817
GCAM4,SSP5-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,22.784,30.671,47.530,64.389,76.633,88.877,97.304,105.731,107.030,108.328,103.154,97.981,93.419,88.856,86.209,83.561,76.371,69.181
GCAM4,SSP5-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.897,22.913,30.929,47.370,63.810,78.984,94.158,103.290,112.422,116.271,120.119,119.522,118.924,115.814,112.704,107.357,102.010,100.768,99.526
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.546,25.431,35.316,45.786,56.255,56.297,56.338,55.631,54.923,54.313,53.703,52.854,52.004,44.979,37.954,31.360,24.766,19.930,15.094
IMAGE,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.546,28.674,41.802,51.601,61.400,64.536,67.672,68.405,69.139,66.220,63.302,54.021,44.741,36.518,28.296,26.475,24.655,23.906,23.158
IMAGE,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.556,29.272,42.988,47.363,51.739,53.427,55.115,59.047,62.978,66.339,69.700,67.956,66.211,59.077,51.942,48.501,45.060,43.636,42.211
IMAGE,SSP3-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.506,29.800,44.093,46.385,48.676,54.263,59.850,63.645,67.441,68.118,68.794,69.147,69.500,69.349,69.198,69.246,69.294,67.175,65.056
IMAGE,SSP4-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.534,27.705,39.876,47.779,55.681,54.024,52.366,52.932,53.498,46.046,38.595,34.375,30.156,27.728,25.300,22.149,18.998,16.156,13.315
IMAGE,SSP4-60,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.412,27.260,39.109,52.386,65.663,66.091,66.520,68.585,70.650,70.882,71.114,65.846,60.578,55.173,49.768,45.954,42.139,41.683,41.226
IMAGE,SSP5-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.954,31.866,47.777,61.838,75.899,80.091,84.282,83.200,82.117,71.168,60.219,51.819,43.419,40.237,37.056,34.011,30.967,29.063,27.158
