Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,35.405,39.413,43.421,41.171,38.922,33.210,27.499,23.732,19.966,15.270,10.575,8.778,6.981,5.901,4.821,4.459,4.098,3.612,3.126
AIM/CGE,SSP1-26,R5.2ASIA,Primary Energy|Oil,EJ/yr,35.398,39.413,43.427,46.681,49.934,46.448,42.962,40.631,38.300,34.740,31.180,26.680,22.179,19.891,17.604,15.443,13.282,12.217,11.151
AIM/CGE,SSP2-45,R5.2ASIA,Primary Energy|Oil,EJ/yr,37.897,45.760,53.623,59.834,66.046,70.089,74.132,75.243,76.354,74.280,72.206,69.538,66.869,63.887,60.904,58.447,55.991,53.816,51.640
AIM/CGE,SSP3-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,37.694,46.255,54.815,60.245,65.675,67.731,69.786,68.731,67.676,65.494,63.313,62.336,61.360,61.042,60.724,60.867,61.009,57.956,54.903
AIM/CGE,SSP4-34,R5.2ASIA,Primary Energy|Oil,EJ/yr,37.006,42.902,48.798,53.349,57.900,57.670,57.440,54.577,51.713,47.597,43.481,39.555,35.629,31.978,28.326,25.694,23.061,21.153,19.245
AIM/CGE,SSP5-34,R5.2ASIA,Primary Energy|Oil,EJ/yr,37.552,45.027,52.503,62.015,71.528,76.176,80.825,84.703,88.581,85.653,82.726,78.638,74.549,69.837,65.125,60.961,56.798,52.488,48.179
AIM/CGE,SSP5-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,37.458,44.472,51.487,60.319,69.152,77.248,85.345,89.081,92.818,94.015,95.211,93.645,92.079,88.053,84.026,75.021,66.016,56.655,47.293
GCAM4,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,45.920,50.197,54.475,57.318,60.160,62.023,63.886,62.178,60.470,55.067,49.663,44.247,38.830,33.491,28.151,24.312,20.473,15.416,10.359
GCAM4,SSP1-26,R5.2ASIA,Primary Energy|Oil,EJ/yr,45.920,50.215,54.510,58.224,61.939,64.646,67.353,67.850,68.348,65.263,62.179,57.334,52.489,46.736,40.982,35.408,29.834,25.824,21.815
GCAM4,SSP2-45,R5.2ASIA,Primary Energy|Oil,EJ/yr,45.920,52.284,58.647,61.940,65.234,66.754,68.274,71.226,74.177,75.667,77.157,77.398,77.640,75.848,74.056,72.862,71.669,68.463,65.258
