k;description;category
10121;Horses: live, pure-bred breeding animals;container
10129;Horses: live, other than pure-bred breeding animals;container
10130;Asses: live;container
10190;Mules and hinnies: live;container
10221;Cattle: live, pure-bred breeding animals;container
10229;Cattle: live, other than pure-bred breeding animals;container
10231;Buffalo: live, pure-bred breeding animals;container
10239;Buffalo: live, other than pure-bred breeding animals;container
10290;Bovine animals: live, other than cattle and buffalo;container
10310;Swine: live, pure-bred breeding animals;container
10391;Swine: live, other than pure-bred breeding animals, weighing less than 50kg;container
10392;Swine: live, other than pure-bred breeding animals, weighing 50kg or more;container
10410;Sheep: live;container
10420;Goats: live;container
10511;Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g;container
10512;Poultry: live, turkeys, weighing not more than 185g;container
10513;Poultry: live, ducks, weighing not more than 185g;container
10514;Poultry: live, geese, weighing not more than 185g;container
10515;Poultry: live, guinea fowls, weighing not more than 185g;container
10594;Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g;container
10599;Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g;container
10611;Mammals: live, primates;container
10612;Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia);container
10613;Mammals: live, camels and other camelids (Camelidae);container
10614;Mammals: live, rabbits and hares;container
10619;Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares;container
10620;Reptiles: live (including snakes and turtles);container
10631;Birds: live, birds of prey;container
10632;Birds: live, Psittaciformes;container
10633;Birds: live, ostriches: emus (Dromaius novaehollandiae);container
10639;Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae);container
10641;Insects: live, bees;container
10649;Insects: live, other than bees;container
10690;Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects;container
20110;Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled;refrigerated cargo
20120;Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled;refrigerated cargo
20130;Meat: of bovine animals, boneless cuts, fresh or chilled;refrigerated cargo
20210;Meat: of bovine animals, carcasses and half-carcasses, frozen;refrigerated cargo
20220;Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen;refrigerated cargo
20230;Meat: of bovine animals, boneless cuts, frozen;refrigerated cargo
20311;Meat: of swine, carcasses and half-carcasses, fresh or chilled;refrigerated cargo
20312;Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled;refrigerated cargo
20319;Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled;refrigerated cargo
20321;Meat: of swine, carcasses and half-carcasses, frozen;refrigerated cargo
20322;Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen;refrigerated cargo
20329;Meat: of swine, n.e.c. in item no. 0203.2, frozen;refrigerated cargo
20410;Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled;refrigerated cargo
