o_d,cluster
ARGARG,1
ARGAUS,1
ARGAUT,1
ARGBEL,1
BGDARG,3
ARGBRA,1
ARGCAN,1
ARGCHE,1
ARGCHL,1
BGDAUS,3
ARGCOL,1
ARGCZE,1
ARGDEU,1
ARGDNK,1
ARGDOM,1
BGDAUT,3
ARGECU,1
BGDBEL,3
ARGESP,1
ARGFIN,1
ARGFRA,1
ARGGBR,1
ARGGRC,1
ARGGTM,1
ARGIDN,1
BGDBRA,3
ARGIRL,1
BGDCAN,3
BGDCHE,3
ARGISR,1
ARGITA,1
ARGJPN,1
ARGKOR,1
BGDCHL,3
BGDCOL,3
ARGMEX,1
BGDCZE,3
ARGNGA,1
ARGNLD,1
ARGNOR,1
ARGNZL,1
BGDDEU,3
ARGPER,1
BGDDNK,3
ARGPOL,1
ARGPRT,1
BGDDOM,3
BGDECU,3
BGDESP,3
BGDFIN,3
ARGSVK,1
ARGSWE,1
BGDFRA,3
BGDGBR,3
ARGUKR,1
ARGUSA,1
BGDGRC,3
BGDGTM,3
ARGZAF,1
AUSARG,1
AUSAUS,1
AUSAUT,1
AUSBEL,1
BGDIDN,3
AUSBRA,1
AUSCAN,1
AUSCHE,1
AUSCHL,1
BGDIRL,3
AUSCOL,1
AUSCZE,1
AUSDEU,1
AUSDNK,1
AUSDOM,1
BGDISR,3
AUSECU,1
BGDITA,3
AUSESP,1
AUSFIN,1
AUSFRA,1
AUSGBR,1
AUSGRC,1
AUSGTM,1
AUSIDN,1
BGDJPN,3
AUSIRL,1
BGDKOR,3
BGDMEX,3
AUSISR,1
AUSITA,1
AUSJPN,1
AUSKOR,1
BGDNGA,3
BGDNLD,3
AUSMEX,1
BGDNOR,3
AUSNGA,1
AUSNLD,1
AUSNOR,1
AUSNZL,1
BGDNZL,3
AUSPER,1
BGDPER,3
AUSPOL,1
AUSPRT,1
BGDPOL,3
BGDPRT,3
BGDSVK,3
BGDSWE,3
AUSSVK,1
AUSSWE,1
BGDUKR,3
BGDUSA,3
AUSUKR,1
AUSUSA,1
BGDZAF,3
CHNARG,3
AUSZAF,1
AUTARG,1
AUTAUS,1
AUTAUT,1
AUTBEL,1
CHNAUS,3
AUTBRA,1
AUTCAN,1
AUTCHE,1
AUTCHL,1
CHNAUT,3
AUTCOL,1
AUTCZE,1
AUTDEU,1
AUTDNK,1
AUTDOM,1
CHNBEL,3
AUTECU,1
CHNBRA,3
AUTESP,1
AUTFIN,1
AUTFRA,1
AUTGBR,1
AUTGRC,1
AUTGTM,1
AUTIDN,1
CHNCAN,3
AUTIRL,1
CHNCHE,3
CHNCHL,3
AUTISR,1
AUTITA,1
AUTJPN,1
AUTKOR,1
CHNCOL,3
CHNCZE,3
AUTMEX,1
CHNDEU,3
AUTNGA,1
AUTNLD,1
AUTNOR,1
AUTNZL,1
CHNDNK,3
AUTPER,1
CHNDOM,3
AUTPOL,1
AUTPRT,1
CHNECU,3
CHNESP,3
CHNFIN,3
CHNFRA,3
AUTSVK,1
AUTSWE,1
CHNGBR,3
CHNGRC,3
AUTUKR,1
AUTUSA,1
CHNGTM,3
CHNIDN,3
AUTZAF,1
BELARG,1
BELAUS,1
BELAUT,1
BELBEL,1
CHNIRL,3
BELBRA,1
BELCAN,1
BELCHE,1
BELCHL,1
CHNISR,3
BELCOL,1
BELCZE,1
BELDEU,1
BELDNK,1
BELDOM,1
CHNITA,3
BELECU,1
CHNJPN,3
BELESP,1
BELFIN,1
BELFRA,1
BELGBR,1
BELGRC,1
BELGTM,1
BELIDN,1
CHNKOR,3
BELIRL,1
CHNMEX,3
CHNNGA,3
BELISR,1
BELITA,1
BELJPN,1
BELKOR,1
CHNNLD,3
CHNNOR,3
BELMEX,1
CHNNZL,3
BELNGA,1
BELNLD,1
BELNOR,1
BELNZL,1
CHNPER,3
BELPER,1
CHNPOL,3
BELPOL,1
BELPRT,1
CHNPRT,3
CHNSVK,3
CHNSWE,3
CHNUKR,3
BELSVK,1
BELSWE,1
CHNUSA,3
CHNZAF,3
BELUKR,1
BELUSA,1
DZAARG,3
DZAAUS,3
BELZAF,1
DZAAUT,3
DZABEL,3
DZABRA,3
DZACAN,3
BGDBGD,4
DZACHE,3
DZACHL,3
DZACOL,3
DZACZE,3
BGDCHN,4
DZADEU,3
DZADNK,3
DZADOM,3
DZAECU,3
DZAESP,3
BGDDZA,4
DZAFIN,3
BGDEGY,4
DZAFRA,3
DZAGBR,3
DZAGRC,3
DZAGTM,3
DZAIDN,3
DZAIRL,3
DZAISR,3
BGDIND,4
DZAITA,3
BGDIRN,4
BGDIRQ,4
DZAJPN,3
DZAKOR,3
DZAMEX,3
DZANGA,3
BGDLBY,4
BGDMAR,4
DZANLD,3
BGDMYS,4
DZANOR,3
DZANZL,3
DZAPER,3
DZAPOL,3
BGDPAK,4
DZAPRT,3
BGDPHL,4
DZASVK,3
DZASWE,3
BGDRUS,4
BGDSAU,4
BGDSDN,4
BGDSGP,4
DZAUKR,3
DZAUSA,3
BGDTHA,4
BGDTUR,4
DZAZAF,3
EGYARG,3
BGDVEN,4
BGDVNM,4
EGYAUS,3
BRAARG,1
BRAAUS,1
BRAAUT,1
BRABEL,1
EGYAUT,3
BRABRA,1
BRACAN,1
BRACHE,1
BRACHL,1
EGYBEL,3
BRACOL,1
BRACZE,1
BRADEU,1
BRADNK,1
BRADOM,1
EGYBRA,3
BRAECU,1
EGYCAN,3
