Region;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AFG;0.419;0.419;0.352982163;0.323148608;0.318693101;0.321266592;0.322917163;0.32282266;0.321815282;0.320081234;0.316632807;0.311138302;0.304478019;0.29802537;0.292586684;0.287987232;0.283807546;0.279773951
AGO;0.57099998;0.57099998;0.460661471;0.415006071;0.414811015;0.418972701;0.417769939;0.410791218;0.401186526;0.392400831;0.38592118;0.381917477;0.379700303;0.378546476;0.377892196;0.3772057;0.37651819;0.375694543
ALB;0.903999984;0.903999984;0.847864211;0.817625642;0.804169238;0.798582554;0.796417952;0.795816898;0.795888007;0.796199977;0.796579063;0.796937406;0.797263861;0.797593951;0.797920823;0.798192918;0.798361599;0.798430681
ARE;0.572000027;0.572000027;0.437431544;0.378357142;0.359766692;0.356528223;0.360992193;0.368994445;0.377282202;0.384082079;0.390143186;0.395599127;0.400381267;0.404210836;0.406768143;0.408002198;0.408330619;0.408139825
ARG;0.851000011;0.851000011;0.787023783;0.747075737;0.729241371;0.722115517;0.720014334;0.719863057;0.720276177;0.720718265;0.721057594;0.721341133;0.721661627;0.722044289;0.722452939;0.722810745;0.723099649;0.723311305
ARM;0.905000031;0.905000031;0.799705565;0.729173124;0.695823252;0.681235373;0.675424337;0.673543513;0.673105597;0.672782063;0.672260404;0.672105849;0.672221661;0.672357202;0.672492683;0.672524095;0.672541082;0.672557831
AUS;0.961000025;0.961000025;0.948032141;0.942207158;0.939461052;0.938294649;0.937843323;0.937631249;0.937576413;0.937703133;0.937908351;0.938091218;0.938204348;0.93830508;0.938396573;0.938499808;0.93861115;0.938697278
AUT;0.947000027;0.947000027;0.924719393;0.912195742;0.906169534;0.903521836;0.902377307;0.901842713;0.901619077;0.901571155;0.901631534;0.901709795;0.901794016;0.90189153;0.901983857;0.902061224;0.902119219;0.90214479
AZE;0.375999987;0.375999987;0.294087529;0.255987138;0.245909095;0.244492233;0.244612679;0.244561389;0.243025079;0.23968035;0.235385925;0.232459575;0.231428176;0.230741277;0.229966387;0.228702068;0.227376193;0.226439118
BDI;0.173000008;0.173000008;0.16024065;0.137326121;0.130128205;0.130627647;0.135794774;0.143284529;0.150237575;0.155512556;0.159383297;0.162525088;0.165465221;0.168075264;0.170079157;0.17137754;0.172274932;0.173091888
BEL;0.977999985;0.977999985;0.967400789;0.962493658;0.960626483;0.960043669;0.959924757;0.95996511;0.960091233;0.96025759;0.960400999;0.960456073;0.960453451;0.960453093;0.960462153;0.960489929;0.960525632;0.960541427
BEN;0.874000013;0.874000013;0.851953685;0.84970814;0.854452014;0.860504925;0.865973532;0.87045604;0.874056995;0.876908183;0.879036903;0.880426288;0.881100655;0.881181657;0.880872905;0.880365551;0.879803002;0.879253447
BFA;0.718999982;0.718999982;0.708318233;0.709667265;0.716772258;0.722293377;0.724424899;0.723299086;0.719629407;0.714108646;0.707192242;0.699253678;0.690759838;0.682291985;0.674351335;0.667255402;0.661086619;0.655661941
BGD;0.335999995;0.335999995;0.29139784;0.300661594;0.331597477;0.358079463;0.381247461;0.402092695;0.4205001;0.43610543;0.448992193;0.459194839;0.466885358;0.472749263;0.477029115;0.479885101;0.481626987;0.48266086
BGR;0.870000005;0.870000005;0.815481484;0.782030225;0.76682359;0.760554492;0.758305848;0.757631779;0.757381916;0.757108033;0.756882846;0.756918073;0.75718224;0.757505774;0.757788002;0.757962584;0.758040667;0.758076727
